-125,-4.313e-18,1
-125,25,1
-125,50,1
-100,0,1
-100,25,1
-100,50,1
-100,75,1
-75,0,1
-75,25,1
-75,50,1
-75,75,1
-75,100,1
-75,125,1
-75,150,1
-50,0,1
-50,25,1
-50,50,1
-50,75,1
-50,100,1
-50,125,1
-50,150,1
-50,175,0
-50,200,0
-50,225,0
-25,0,1
-25,25,1
-25,50,1
-25,75,1
-25,100,1
-25,125,1
-25,150,1
-25,175,1
-25,200,0
-25,225,0
-25,250,0
-25,275,0
0,-0,1
0,25,1
0,50,1
0,75,1
-1.1102e-16,100,1
0,125,1
0,150,1
0,175,1
0,200,0
0,225,0
0,250,0
0,275,0
0,300,0
25,0,1
25,25,1
25,50,1
25,75,1
25,100,1
25,125,1
25,150,1
25,175,1
25,200,0
25,225,0
25,250,0
25,275,0
25,300,0
50,0,1
50,25,1
50,50,1
50,75,1
50,100,1
50,125,1
50,150,1
50,175,0
50,200,0
50,225,0
50,250,0
75,0,1
75,25,1
75,50,1
75,75,1
75,100,1
75,125,1
75,150,0
100,0,1
100,25,1
100,50,1
100,75,1
125,-4.313e-18,1
125,25,1
125,50,1
